,Date,Sunset Time
0,2005-01-01,16:48:51
1,2005-01-02,16:49:41
2,2005-01-03,16:50:33
3,2005-01-04,16:51:26
4,2005-01-05,16:52:21
5,2005-01-06,16:53:16
6,2005-01-07,16:54:14
7,2005-01-08,16:55:12
8,2005-01-09,16:56:11
9,2005-01-10,16:57:12
10,2005-01-11,16:58:13
11,2005-01-12,16:59:16
12,2005-01-13,17:00:19
13,2005-01-14,17:01:23
14,2005-01-15,17:02:28
15,2005-01-16,17:03:34
16,2005-01-17,17:04:40
17,2005-01-18,17:05:47
18,2005-01-19,17:06:55
19,2005-01-20,17:08:03
20,2005-01-21,17:09:12
21,2005-01-22,17:10:21
22,2005-01-23,17:11:31
23,2005-01-24,17:12:41
24,2005-01-25,17:13:51
25,2005-01-26,17:15:02
26,2005-01-27,17:16:12
27,2005-01-28,17:17:23
28,2005-01-29,17:18:34
29,2005-01-30,17:19:46
30,2005-01-31,17:20:57
31,2005-02-01,17:22:08
32,2005-02-02,17:23:20
33,2005-02-03,17:24:31
34,2005-02-04,17:25:43
35,2005-02-05,17:26:54
36,2005-02-06,17:28:05
37,2005-02-07,17:29:16
38,2005-02-08,17:30:27
39,2005-02-09,17:31:38
40,2005-02-10,17:32:49
41,2005-02-11,17:33:59
42,2005-02-12,17:35:10
43,2005-02-13,17:36:20
44,2005-02-14,17:37:30
45,2005-02-15,17:38:39
46,2005-02-16,17:39:48
47,2005-02-17,17:40:57
48,2005-02-18,17:42:06
49,2005-02-19,17:43:15
50,2005-02-20,17:44:23
51,2005-02-21,17:45:31
52,2005-02-22,17:46:38
53,2005-02-23,17:47:46
54,2005-02-24,17:48:53
55,2005-02-25,17:49:59
56,2005-02-26,17:51:06
57,2005-02-27,17:52:12
58,2005-02-28,17:53:18
59,2005-03-01,17:54:23
60,2005-03-02,17:55:29
61,2005-03-03,17:56:33
62,2005-03-04,17:57:38
63,2005-03-05,17:58:42
64,2005-03-06,17:59:47
65,2005-03-07,18:00:50
66,2005-03-08,18:01:54
67,2005-03-09,18:02:57
68,2005-03-10,18:04:00
69,2005-03-11,18:05:03
70,2005-03-12,18:06:06
71,2005-03-13,18:07:08
72,2005-03-14,18:08:10
73,2005-03-15,18:09:12
74,2005-03-16,18:10:14
75,2005-03-17,18:11:16
76,2005-03-18,18:12:17
77,2005-03-19,18:13:18
78,2005-03-20,18:14:20
79,2005-03-21,18:15:21
80,2005-03-22,18:16:21
81,2005-03-23,18:17:22
82,2005-03-24,18:18:23
83,2005-03-25,18:19:23
84,2005-03-26,18:20:24
85,2005-03-27,18:21:24
86,2005-03-28,18:22:25
87,2005-03-29,18:23:25
88,2005-03-30,18:24:25
89,2005-03-31,18:25:25
90,2005-04-01,18:26:25
91,2005-04-02,18:27:26
92,2005-04-03,19:28:26
93,2005-04-04,19:29:26
94,2005-04-05,19:30:26
95,2005-04-06,19:31:26
96,2005-04-07,19:32:26
97,2005-04-08,19:33:26
98,2005-04-09,19:34:26
99,2005-04-10,19:35:27
100,2005-04-11,19:36:27
101,2005-04-12,19:37:27
102,2005-04-13,19:38:27
103,2005-04-14,19:39:28
104,2005-04-15,19:40:28
105,2005-04-16,19:41:28
106,2005-04-17,19:42:29
107,2005-04-18,19:43:29
108,2005-04-19,19:44:30
109,2005-04-20,19:45:30
110,2005-04-21,19:46:30
111,2005-04-22,19:47:31
112,2005-04-23,19:48:31
113,2005-04-24,19:49:32
114,2005-04-25,19:50:32
115,2005-04-26,19:51:33
116,2005-04-27,19:52:33
117,2005-04-28,19:53:34
118,2005-04-29,19:54:34
119,2005-04-30,19:55:34
120,2005-05-01,19:56:34
