Unnamed: 0,datetime,temp,feelslike,humidity,dew,precip,precipprob,preciptype,windspeed,winddir,pressure,visibility,cloudcover,conditions,icon,moonphase
0,16:00:00,39.8,32.9,48.2,21.8,0.0,0.0,0,11.3,110.0,1012.9,9.9,50.0,Partially cloudy,partly-cloudy-day,0.71
1,16:00:00,32.1,32.1,65.5,21.8,0.0,0.0,0,2.2,280.0,1017.3,9.9,100.0,Overcast,cloudy,0.74
2,16:00:00,38.9,35.3,57.2,25.1,0.0,0.0,0,4.9,60.0,1017.6,8.7,50.0,Partially cloudy,partly-cloudy-day,0.75
3,16:00:00,11.9,3.1,92.3,10.1,0.051,100.0,['snow'],5.3,50.0,1017.9,1.2,100.0,"Snow, Overcast",snow,0.81
4,16:00:00,5.1,-7.7,78.5,-0.1,0.0,0.0,0,7.8,165.0,1014.9,9.9,90.0,Partially cloudy,partly-cloudy-day,0.84
5,16:00:00,35.9,29.6,47.6,17.9,0.0,0.0,0,7.9,280.0,1001.7,9.9,50.0,Partially cloudy,partly-cloudy-day,0.88
6,16:00:00,24.2,15.9,61.5,12.8,0.0,0.0,0,7.1,100.0,1011.2,9.9,50.0,Partially cloudy,partly-cloudy-day,0.91
7,16:00:00,46.1,41.1,41.8,24.2,0.0,0.0,0,10.3,230.0,1009.1,9.9,90.0,Partially cloudy,partly-cloudy-day,0.94
8,16:00:00,53.0,53.0,36.2,26.9,0.0,0.0,0,5.5,100.0,1015.2,9.9,50.0,Partially cloudy,partly-cloudy-day,0.98
9,16:00:00,38.0,30.9,79.0,32.1,0.0,0.0,0,10.7,130.0,1010.5,9.9,90.0,Partially cloudy,partly-cloudy-day,0.0
10,16:00:00,34.1,27.1,87.8,30.8,0.0,0.0,0,8.4,340.0,998.0,1.2,100.0,Overcast,cloudy,0.04
11,16:00:00,29.0,19.5,71.4,20.9,0.0,0.0,0,11.0,40.0,1007.1,9.9,50.0,Partially cloudy,partly-cloudy-day,0.08
12,17:00:00,35.9,27.1,35.3,11.0,0.0,0.0,0,13.5,290.0,1014.2,9.9,50.0,Partially cloudy,partly-cloudy-night,0.11
13,17:00:00,16.1,5.7,96.2,15.2,0.0,0.0,0,7.7,90.0,1022.0,0.6,40.0,Clear,fog,0.14
14,17:00:00,24.2,12.0,84.0,20.0,0.0,0.0,0,14.0,50.0,1025.4,6.2,30.0,Partially cloudy,partly-cloudy-day,0.18
15,17:00:00,28.1,21.1,68.6,19.1,0.0,0.0,0,6.6,30.0,1023.7,8.7,90.0,Partially cloudy,partly-cloudy-day,0.25
16,17:00:00,38.0,33.2,63.8,26.9,0.0,0.0,0,6.3,110.0,1025.7,9.9,50.0,Partially cloudy,partly-cloudy-day,0.24
17,17:00:00,48.8,45.7,46.1,29.0,0.0,0.0,0,7.1,240.0,1022.4,9.9,90.0,Partially cloudy,partly-cloudy-day,0.28
18,17:00:00,56.9,56.9,30.2,26.0,0.0,0.0,0,8.6,230.0,1024.4,9.9,90.0,Partially cloudy,partly-cloudy-day,0.31
19,17:00:00,53.9,53.9,39.7,29.9,0.0,0.0,0,6.0,100.0,1019.3,9.9,50.0,Partially cloudy,partly-cloudy-day,0.34
20,17:00:00,44.9,39.0,51.6,28.1,0.0,0.0,0,12.0,60.0,1017.9,9.9,50.0,Partially cloudy,partly-cloudy-day,0.38
21,17:00:00,35.0,28.4,69.4,26.0,0.0,0.0,0,8.1,100.0,1025.1,9.9,50.0,Partially cloudy,partly-cloudy-day,0.41
22,17:00:00,51.2,51.2,35.9,25.1,0.0,0.0,0,6.5,110.0,1020.3,9.9,50.0,Partially cloudy,partly-cloudy-day,0.44
23,17:00:00,50.1,50.1,38.8,26.0,0.0,0.0,0,5.0,10.0,1016.9,9.9,30.0,Partially cloudy,partly-cloudy-day,0.48
24,17:00:00,50.1,50.1,34.4,23.1,0.0,0.0,0,4.8,50.0,1017.9,9.9,90.0,Partially cloudy,partly-cloudy-day,0.5
25,17:00:00,41.1,41.1,52.6,25.1,0.0,0.0,0,2.5,360.0,1016.6,9.9,90.0,Partially cloudy,partly-cloudy-day,0.55
26,17:00:00,43.1,40.0,61.7,30.8,0.0,0.0,0,5.2,360.0,1010.2,9.9,90.0,Partially cloudy,partly-cloudy-day,0.58
27,17:00:00,44.0,42.5,57.5,29.9,0.0,0.0,0,3.4,80.0,1015.9,9.9,90.0,Partially cloudy,partly-cloudy-day,0.62
28,17:00:00,39.8,36.8,73.6,32.1,0.009,100.0,['rain'],4.4,120.0,1016.9,9.9,100.0,"Rain, Overcast",rain,0.65
29,17:00:00,35.0,30.8,84.7,30.8,0.079,100.0,"['rain', 'snow']",4.7,310.0,1016.6,9.9,100.0,"Rain, Overcast",rain,0.68
30,17:00:00,29.9,25.7,75.4,23.1,0.009,100.0,"['rain', 'snow']",4.0,180.0,1022.7,9.9,90.0,"Snow, Partially cloudy",snow,0.72
31,17:00:00,35.9,32.4,44.0,16.1,0.005,100.0,['rain'],4.1,360.0,1022.7,9.9,50.0,"Rain, Partially cloudy",rain,0.75
32,17:00:00,39.8,38.1,46.4,20.9,0.0,0.0,0,3.0,160.0,1023.4,9.9,50.0,Partially cloudy,partly-cloudy-day,0.75
33,17:00:00,47.9,46.8,35.4,21.8,0.0,0.0,0,3.6,160.0,1026.1,9.9,50.0,Partially cloudy,partly-cloudy-day,0.82
34,17:00:00,51.2,51.2,35.9,25.1,0.0,0.0,0,4.4,150.0,1016.3,9.9,30.0,Partially cloudy,partly-cloudy-day,0.86
35,17:00:00,48.8,45.8,27.8,17.0,0.0,0.0,0,7.0,90.0,1007.8,9.9,50.0,Partially cloudy,partly-cloudy-day,0.89
36,17:00:00,29.0,29.0,71.4,20.9,0.0,0.0,0,2.9,100.0,1014.9,9.9,90.0,Partially cloudy,partly-cloudy-day,0.93
37,17:00:00,29.9,21.8,75.4,23.1,0.0,0.0,0,8.8,330.0,1009.5,9.9,90.0,Partially cloudy,partly-cloudy-day,0.96
38,17:00:00,29.0,22.3,66.1,19.1,0.0,0.0,0,6.5,90.0,1015.6,9.9,90.0,Partially cloudy,partly-cloudy-day,0.0
39,17:00:00,42.2,36.1,17.6,1.1,0.0,0.0,0,10.6,240.0,1020.3,9.9,0.0,Clear,clear-day,0.03
40,17:00:00,43.1,40.6,19.2,3.8,0.0,0.0,0,4.4,100.0,1023.7,9.9,90.0,Partially cloudy,partly-cloudy-day,0.06
41,17:00:00,47.9,46.5,22.2,11.0,0.0,0.0,0,4.0,50.0,1016.9,9.9,100.0,Overcast,cloudy,0.09
42,17:00:00,51.2,51.2,29.1,20.0,0.0,0.0,0,2.0,205.0,1002.4,9.9,90.0,Partially cloudy,partly-cloudy-day,0.13
43,17:00:00,52.1,52.1,20.6,12.8,0.0,0.0,0,12.3,360.0,1012.2,9.9,50.0,Partially cloudy,partly-cloudy-day,0.16
44,17:00:00,56.9,56.9,20.7,17.0,0.005,100.0,['rain'],16.1,320.0,1008.1,9.9,50.0,"Rain, Partially cloudy",rain,0.19
45,17:00:00,25.1,16.8,77.8,19.1,0.012,100.0,['snow'],7.4,50.0,1021.3,9.9,90.0,"Snow, Partially cloudy",snow,0.25
46,17:00:00,28.1,19.8,76.9,21.8,0.005,100.0,['snow'],8.5,360.0,1021.0,9.9,90.0,"Snow, Partially cloudy",snow,0.26
47,17:00:00,41.1,36.0,23.1,6.2,0.0,0.0,0,7.8,90.0,1020.3,9.9,30.0,Partially cloudy,partly-cloudy-day,0.29
48,17:00:00,37.1,32.7,41.9,16.1,0.0,0.0,0,5.5,350.0,1013.2,9.9,100.0,Overcast,cloudy,0.32
