,Date,Sunset Time
0,2006-01-01,16:40:08
1,2006-01-02,16:40:59
2,2006-01-03,16:41:50
3,2006-01-04,16:42:44
4,2006-01-05,16:43:38
5,2006-01-06,16:44:34
6,2006-01-07,16:45:31
7,2006-01-08,16:46:30
8,2006-01-09,16:47:29
9,2006-01-10,16:48:30
10,2006-01-11,16:49:32
11,2006-01-12,16:50:34
12,2006-01-13,16:51:38
13,2006-01-14,16:52:42
14,2006-01-15,16:53:48
15,2006-01-16,16:54:54
16,2006-01-17,16:56:01
17,2006-01-18,16:57:09
18,2006-01-19,16:58:17
19,2006-01-20,16:59:26
20,2006-01-21,17:00:35
21,2006-01-22,17:01:45
22,2006-01-23,17:02:55
23,2006-01-24,17:04:05
24,2006-01-25,17:05:16
25,2006-01-26,17:06:28
26,2006-01-27,17:07:39
27,2006-01-28,17:08:51
28,2006-01-29,17:10:03
29,2006-01-30,17:11:15
30,2006-01-31,17:12:27
31,2006-02-01,17:13:39
32,2006-02-02,17:14:52
33,2006-02-03,17:16:04
34,2006-02-04,17:17:16
35,2006-02-05,17:18:28
36,2006-02-06,17:19:41
37,2006-02-07,17:20:53
38,2006-02-08,17:22:05
39,2006-02-09,17:23:17
40,2006-02-10,17:24:28
41,2006-02-11,17:25:40
42,2006-02-12,17:26:51
43,2006-02-13,17:28:02
44,2006-02-14,17:29:13
45,2006-02-15,17:30:23
46,2006-02-16,17:31:34
47,2006-02-17,17:32:44
48,2006-02-18,17:33:54
49,2006-02-19,17:35:03
50,2006-02-20,17:36:13
51,2006-02-21,17:37:22
52,2006-02-22,17:38:30
53,2006-02-23,17:39:39
54,2006-02-24,17:40:47
55,2006-02-25,17:41:54
56,2006-02-26,17:43:02
57,2006-02-27,17:44:09
58,2006-02-28,17:45:16
59,2006-03-01,17:46:23
60,2006-03-02,17:47:29
61,2006-03-03,17:48:35
62,2006-03-04,17:49:41
63,2006-03-05,17:50:46
64,2006-03-06,17:51:51
65,2006-03-07,17:52:56
66,2006-03-08,17:54:01
67,2006-03-09,17:55:05
68,2006-03-10,17:56:09
69,2006-03-11,17:57:13
70,2006-03-12,17:58:17
71,2006-03-13,17:59:20
72,2006-03-14,18:00:24
73,2006-03-15,18:01:27
74,2006-03-16,18:02:30
75,2006-03-17,18:03:32
76,2006-03-18,18:04:35
77,2006-03-19,18:05:37
78,2006-03-20,18:06:39
79,2006-03-21,18:07:41
80,2006-03-22,18:08:43
81,2006-03-23,18:09:45
82,2006-03-24,18:10:47
83,2006-03-25,18:11:48
84,2006-03-26,18:12:50
85,2006-03-27,18:13:51
86,2006-03-28,18:14:53
87,2006-03-29,18:15:54
88,2006-03-30,18:16:55
89,2006-03-31,18:17:56
90,2006-04-01,18:18:58
91,2006-04-02,19:19:59
92,2006-04-03,19:21:00
93,2006-04-04,19:22:01
94,2006-04-05,19:23:02
95,2006-04-06,19:24:03
96,2006-04-07,19:25:04
97,2006-04-08,19:26:05
98,2006-04-09,19:27:06
99,2006-04-10,19:28:08
100,2006-04-11,19:29:09
101,2006-04-12,19:30:10
102,2006-04-13,19:31:11
103,2006-04-14,19:32:13
104,2006-04-15,19:33:14
105,2006-04-16,19:34:15
106,2006-04-17,19:35:17
107,2006-04-18,19:36:18
108,2006-04-19,19:37:19
109,2006-04-20,19:38:21
110,2006-04-21,19:39:22
111,2006-04-22,19:40:24
112,2006-04-23,19:41:25
113,2006-04-24,19:42:27
114,2006-04-25,19:43:28
115,2006-04-26,19:44:29
116,2006-04-27,19:45:31
117,2006-04-28,19:46:32
118,2006-04-29,19:47:33
119,2006-04-30,19:48:34
120,2006-05-01,19:49:35
121,2006-05-02,19:50:36
122,2006-05-03,19:51:37
123,2006-05-04,19:52:38
124,2006-05-05,19:53:38
125,2006-05-06,19:54:38
126,2006-05-07,19:55:39
127,2006-05-08,19:56:38
128,2006-05-09,19:57:38
129,2006-05-10,19:58:37
130,2006-05-11,19:59:36
131,2006-05-12,20:00:35
132,2006-05-13,20:01:33
133,2006-05-14,20:02:31
134,2006-05-15,20:03:28
135,2006-05-16,20:04:25
136,2006-05-17,20:05:21
137,2006-05-18,20:06:17
138,2006-05-19,20:07:12
139,2006-05-20,20:08:07
140,2006-05-21,20:09:01
141,2006-05-22,20:09:54
142,2006-05-23,20:10:46
143,2006-05-24,20:11:38
144,2006-05-25,20:12:29
145,2006-05-26,20:13:19
146,2006-05-27,20:14:08
147,2006-05-28,20:14:56
148,2006-05-29,20:15:43
149,2006-05-30,20:16:29
150,2006-05-31,20:17:15
151,2006-06-01,20:17:59
152,2006-06-02,20:18:41
153,2006-06-03,20:19:23
